target,probe_id,sector,trombone,exit_cc,exit_ip
fgeha.gov.pk,1016393,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,60223,Government Services & Facilities,False,,
fgeha.gov.pk,62224,Government Services & Facilities,False,,
fgeha.gov.pk,64078,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,1015679,Government Services & Facilities,True,CA,70.70.71.137
fgeha.gov.pk,1016126,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,7613,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,64535,Government Services & Facilities,True,US,149.40.227.42
fgeha.gov.pk,64722,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,65892,Government Services & Facilities,False,,
fgeha.gov.pk,1014872,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,1016036,Government Services & Facilities,False,,
fgeha.gov.pk,1016143,Government Services & Facilities,False,,
fgeha.gov.pk,1016393,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,1016126,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,60223,Government Services & Facilities,False,,
fgeha.gov.pk,62224,Government Services & Facilities,False,,
fgeha.gov.pk,64078,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,1015679,Government Services & Facilities,True,CA,70.70.71.137
fgeha.gov.pk,7613,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,64535,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,64722,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,65892,Government Services & Facilities,False,,
fgeha.gov.pk,1014872,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,1016036,Government Services & Facilities,False,,
fgeha.gov.pk,1016143,Government Services & Facilities,False,,
fgeha.gov.pk,1016393,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,60223,Government Services & Facilities,False,,
fgeha.gov.pk,62224,Government Services & Facilities,False,,
fgeha.gov.pk,64078,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,1015679,Government Services & Facilities,True,CA,70.70.71.137
fgeha.gov.pk,1016126,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,7613,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,64535,Government Services & Facilities,True,US,149.40.227.42
fgeha.gov.pk,64722,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,65892,Government Services & Facilities,False,,
fgeha.gov.pk,1014872,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,1016036,Government Services & Facilities,False,,
fgeha.gov.pk,1016143,Government Services & Facilities,False,,
fgeha.gov.pk,1016393,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,1016126,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,60223,Government Services & Facilities,False,,
fgeha.gov.pk,62224,Government Services & Facilities,False,,
fgeha.gov.pk,64078,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,1015679,Government Services & Facilities,True,CA,70.70.71.137
fgeha.gov.pk,7613,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,64535,Government Services & Facilities,True,US,149.40.227.42
fgeha.gov.pk,64722,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,65892,Government Services & Facilities,False,,
fgeha.gov.pk,1014872,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,1016036,Government Services & Facilities,False,,
fgeha.gov.pk,1016143,Government Services & Facilities,False,,
fgeha.gov.pk,1015679,Government Services & Facilities,True,CA,70.70.71.137
fgeha.gov.pk,1016126,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,60223,Government Services & Facilities,False,,
fgeha.gov.pk,62224,Government Services & Facilities,False,,
fgeha.gov.pk,64078,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,7613,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,64535,Government Services & Facilities,True,US,149.40.227.42
fgeha.gov.pk,64722,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,65892,Government Services & Facilities,False,,
fgeha.gov.pk,1014872,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,1016036,Government Services & Facilities,False,,
fgeha.gov.pk,1016143,Government Services & Facilities,False,,
fgeha.gov.pk,1016393,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,1015679,Government Services & Facilities,True,CA,70.70.71.137
fgeha.gov.pk,60223,Government Services & Facilities,False,,
fgeha.gov.pk,62224,Government Services & Facilities,False,,
fgeha.gov.pk,64078,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,1016126,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,7613,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,64535,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,64722,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,65892,Government Services & Facilities,False,,
fgeha.gov.pk,1014872,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,1016036,Government Services & Facilities,False,,
fgeha.gov.pk,1016143,Government Services & Facilities,False,,
fgeha.gov.pk,1016393,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,1016126,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,60223,Government Services & Facilities,False,,
fgeha.gov.pk,62224,Government Services & Facilities,False,,
fgeha.gov.pk,64078,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,1015679,Government Services & Facilities,True,CA,70.70.71.137
fgeha.gov.pk,7613,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,64535,Government Services & Facilities,True,US,149.40.227.42
fgeha.gov.pk,64722,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,65892,Government Services & Facilities,False,,
fgeha.gov.pk,1014872,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,1016036,Government Services & Facilities,False,,
fgeha.gov.pk,1016143,Government Services & Facilities,False,,
fgeha.gov.pk,1016393,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,1015679,Government Services & Facilities,True,CA,70.70.71.137
fgeha.gov.pk,60223,Government Services & Facilities,False,,
fgeha.gov.pk,62224,Government Services & Facilities,False,,
fgeha.gov.pk,64078,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,1016126,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,7613,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,64535,Government Services & Facilities,True,US,149.40.227.42
fgeha.gov.pk,64722,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,65892,Government Services & Facilities,False,,
fgeha.gov.pk,1014872,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,1016036,Government Services & Facilities,False,,
fgeha.gov.pk,1016143,Government Services & Facilities,False,,
fgeha.gov.pk,1016393,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,1015679,Government Services & Facilities,True,CA,70.70.71.137
fgeha.gov.pk,1016126,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,60223,Government Services & Facilities,False,,
fgeha.gov.pk,62224,Government Services & Facilities,False,,
fgeha.gov.pk,64078,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,7613,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,64535,Government Services & Facilities,True,US,149.40.227.42
fgeha.gov.pk,64722,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,65892,Government Services & Facilities,False,,
fgeha.gov.pk,1014872,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,1016036,Government Services & Facilities,False,,
fgeha.gov.pk,1016143,Government Services & Facilities,False,,
fgeha.gov.pk,1016393,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,1015679,Government Services & Facilities,True,CA,70.70.71.137
fgeha.gov.pk,60223,Government Services & Facilities,False,,
fgeha.gov.pk,62224,Government Services & Facilities,False,,
fgeha.gov.pk,64078,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,1016126,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,7613,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,64722,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,65892,Government Services & Facilities,False,,
fgeha.gov.pk,1014872,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,1016036,Government Services & Facilities,False,,
fgeha.gov.pk,1016143,Government Services & Facilities,False,,
fgeha.gov.pk,1016393,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,1015679,Government Services & Facilities,True,CA,70.70.71.137
fgeha.gov.pk,60223,Government Services & Facilities,False,,
fgeha.gov.pk,62224,Government Services & Facilities,False,,
fgeha.gov.pk,64078,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,1016126,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,7613,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,64535,Government Services & Facilities,True,US,149.40.227.42
fgeha.gov.pk,64722,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,65892,Government Services & Facilities,False,,
fgeha.gov.pk,1014872,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,1016036,Government Services & Facilities,False,,
fgeha.gov.pk,1016143,Government Services & Facilities,False,,
fgeha.gov.pk,1016393,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,1015679,Government Services & Facilities,True,CA,70.70.71.137
fgeha.gov.pk,60223,Government Services & Facilities,False,,
fgeha.gov.pk,62224,Government Services & Facilities,False,,
fgeha.gov.pk,64078,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,1016126,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,7613,Government Services & Facilities,True,SG,27.111.228.157
fgeha.gov.pk,64535,Government Services & Facilities,True,US,149.40.227.42
fgeha.gov.pk,64722,Government Services & Facilities,True,SG,27.111.228.157
